,TYPE,'(',')','{','}',WHILE,IF,ELSE,';','=',PRINT1,SCAN1,ID,REL_OPT,OR,AND,NOT,TRUE,FALSE,'^','*','/','%','+','-',DIGIT,FLOAT,$,startSym',startSym,funcs,func,program,construct,block,stmts,stmt,string,dec,bool,expr,text,number
41,r18,r18, ,r18,r18,r18,r18, ,r18, ,r18,r18,r18, , , , , , , , , , , , ,r18,r18,r18, , , , , , , , , , , , , , , 
42, ,s19, , , , , , , , , , ,s21, , , , , , , , , , , , ,s22,s23, , , , , , , , , , , , , ,65,47,20
43, ,s19, , , , , , , , , , ,s21, , , , , , , , , , , , ,s22,s23, , , , , , , , , , , , , ,66,47,20
44, , , , , , , , , , , , ,s68, , , , , , , , , , , , , , , , , , , , , , , , ,67, , , , , 
45, , , , , , , , , , , , ,s69, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
46, , ,s70, , , , , , , , , , , , , , , , ,s35,s36,s37,s38,s39,s40, , , , , , , , , , , , , , , , , , 
47, , ,r41, , , , , ,r41, , , , ,r41,r41,r41, , , ,r41,r41,r41,r41,r41,r41, , , , , , , , , , , , , , , , , , 
48, ,s50, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
49, , , , , , , , ,r26,r26, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
50, , ,s71, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
51, , ,s72, , , , , , , , , , , ,s73,s74, , , , , , , , , , , , , , , , , , , , , , , , , , , 
52, , , , , , , , , , , , , ,s75, , , , , ,s35,s36,s37,s38,s39,s40, , , , , , , , , , , , , , , , , , 
53, ,s76, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
54, ,s54, , , , , , , , , , ,s21, , , ,s53,s55,s56, , , , , , ,s22,s23, , , , , , , , , , , , ,77,78,47,20
55, , ,r32, , , , , , , , , , , ,r32,r32, , , , , , , , , , , , , , , , , , , , , , , , , , , 
56, , ,r33, , , , , , , , , , , ,r33,r33, , , , , , , , , , , , , , , , , , , , , , , , , , , 
57, , ,s79, , , , , , , , , , , ,s73,s74, , , , , , , , , , , , , , , , , , , , , , , , , , , 
58,r13,r13, ,r13,r13,r13,r13,r13,r13, ,r13,r13,r13, , , , , , , , , , , , ,r13,r13,r13, , , , , , , , , , , , , , , 
59, , ,r35, , , , , ,r35, , , , ,r35,r35,r35, , , ,s35,s36,s37,s38,s39,s40, , , , , , , , , , , , , , , , , , 
60, , ,r36, , , , , ,r36, , , , ,r36,r36,r36, , , ,s35,s36,s37,s38,s39,s40, , , , , , , , , , , , , , , , , , 
61, , ,r37, , , , , ,r37, , , , ,r37,r37,r37, , , ,s35,s36,s37,s38,s39,s40, , , , , , , , , , , , , , , , , , 
62, , ,r38, , , , , ,r38, , , , ,r38,r38,r38, , , ,s35,s36,s37,s38,s39,s40, , , , , , , , , , , , , , , , , , 
63, , ,r39, , , , , ,r39, , , , ,r39,r39,r39, , , ,s35,s36,s37,s38,s39,s40, , , , , , , , , , , , , , , , , , 
64, , ,r40, , , , , ,r40, , , , ,r40,r40,r40, , , ,s35,s36,s37,s38,s39,s40, , , , , , , , , , , , , , , , , , 
65, , , , , , , , ,s80, , , , , , , , , , ,s35,s36,s37,s38,s39,s40, , , , , , , , , , , , , , , , , , 
66, , , , , , , , ,s81, , , , , , , , , , ,s35,s36,s37,s38,s39,s40, , , , , , , , , , , , , , , , , , 
67, , ,s82, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
68, , ,r25, , , , , , , , , ,s68, , , , , , , , , , , , , , , , , , , , , , , , ,83, , , , , 
69, , ,s84, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
70, , ,r34, , , , , ,r34, , , , ,r34,r34,r34, , , ,r34,r34,r34,r34,r34,r34, , , , , , , , , , , , , , , , , , 
71, , , ,s85, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
72, , , ,s12, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,86, , , , , , , , 
