,TYPE,'(',')','{','}',WHILE,IF,ELSE,error,'\n',';','=',expr;,REL_OPT,OR,AND,NOT,TRUE,FALSE,'^','*','/','%','+','-',ID,DIGIT,FLOAT,$,startSym,funcs,func,program,construct,block,stmts,stmt,dec,bool,expr,text,number
51, , ,r27, , , , , , , , , , , ,r27,r27, , , , , , , , , , , , , , , , , , , , , , , , , , 
52, , ,r28, , , , , , , , , , , ,r28,r28, , , , , , , , , , , , , , , , , , , , , , , , , , 
53, , ,s72, , , , , , , , , , , ,s66,s67, , , , , , , , , , , , , , , , , , , , , , , , , , 
54,r15,r15, ,r15,r15,r15,r15, , , ,r15, , , , , , , , , , , , , , ,r15,r15,r15, , , , , , , , , , , , , , 
55, , , ,r12,r12,r12,r12,r12, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
56, , ,r30, , , , , , , ,r30, , ,r30,r30,r30, , , ,s35 ,s36 ,s37,s38 ,s39,s40, , , , , , , , , , , , , , , , , 
57, , ,r31, , , , , , , ,r31, , ,r31,r31,r31, , , ,s35 ,s36 ,s37,s38 ,s39,s40, , , , , , , , , , , , , , , , , 
58, , ,r32, , , , , , , ,r32, , ,r32,r32,r32, , , ,s35 ,s36 ,s37,s38 ,s39,s40, , , , , , , , , , , , , , , , , 
59, , ,r33, , , , , , , ,r33, , ,r33,r33,r33, , , ,s35,s36 ,s37,s38 ,s39,s40 , , , , , , , , , , , , , , , , , 
60, , ,r34, , , , , , , ,r34, , ,r34,r34,r34, , , ,s35 ,s36 ,s37,s38 ,s39,s40, , , , , , , , , , , , , , , , , 
61, , ,r35, , , , , , , ,r35, , ,r35,r35,r35, , , ,s35 ,s36 ,s37,s38 ,s39,s40, , , , , , , , , , , , , , , , , 
62,r20,r20, ,r20,r20,r20,r20, ,r20, ,r20, , , , , , , , , , , , , , ,r20,r20,r20, , , , , , , , , , , , , , 
63, , , , , , , , , , ,s73, , , , , , , , ,s35,s36,s37,s38,s39,s40, , , , , , , , , , , , , , , , , 
64, , ,r29, , , , , , , ,r29, , ,r29,r29,r29, , , ,r29,r29,r29,r29,r29,r29, , , , , , , , , , , , , , , , , 
65, , , ,s17, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,74, , , , , , , 
66, ,s50, , , , , , , , , , , , , , ,s49,s51,s52, , , , , , ,s6,s25,s26, , , , , , , , , , ,75,48,45,23
67, ,s50, , , , , , , , , , , , , , ,s49,s51,s52, , , , , , ,s6,s25,s26, , , , , , , , , , ,76,48,45,23
68, ,s22, , , , , , , , , , , , , , , , , , , , , , , ,s6,s25,s26, , , , , , , , , , , ,77,45,23
69, ,s50, , , , , , , , , , , , , , ,s49,s51,s52, , , , , , ,s6,s25,s26, , , , , , , , , , ,78,48,45,23
